"Distance","Distribution"
"1","0.01088735292059187"
"2","0.010478251601654416"
"3","0.010084522604196485"
"4","0.009705588300484479"
"5","0.009340892767626131"
"6","0.00898990097199309"
"7","0.008652097984289488"
"8","0.008326988224114974"
"9","0.00801409473291391"
"10","0.0077129584742441065"
"11","0.007423137660338541"
"12","0.007144207103972071"
"13","0.0068757575946823135"
"14","0.006617395298429512"
"15","0.006368741179814714"
"16","0.006129430446008553"
"17","0.00589911201157489"
"18","0.005677447983404132"
"19","0.005464113165000619"
"20","0.005258794579396824"
"21","0.005061191009994444"
"22","0.004871012558658768"
"23","0.004687980220418017"
"24","0.004511825474143708"
"25","0.00434228988861155"
"26","0.004179124743364914"
"27","0.004022090663824688"
"28","0.0038709572701101716"
"29","0.0037255028390558217"
"30","0.003585513978928"
"31","0.0034507853163645032"
"32","0.003321119195077606"
"33","0.0031963253858785846"
"34","0.003076220807598311"
"35","0.002960629258494482"
"36","0.002849381157751453"
"37","0.0027423132966934247"
"38","0.002639268599345999"
"39","0.002540095891994839"
"40","0.002444649681403348"
"41","0.002352789941364006"
"42","0.002264381907270218"
"43","0.0021792958784072904"
"44","0.0020974070276724953"
"45","0.0020185952184450548"
"46","0.0019427448283373908"
"47","0.0018697445795690666"
"48","0.001799487375714571"
"49","0.0017318701445854356"
"50","0.0016667936870161896"
"51","0.0016041625313323086"
"52","0.001543884793286648"
"53","0.0014858720412588842"
"54","0.001430039166520196"
"55","0.0013763042583728605"
"56","0.0013245884839815805"
"57","0.0012748159727202508"
"58","0.0012269137048644902"
"59","0.0011808114044666433"
"60","0.0011364414362560942"
"61","0.001093738706413635"
"62","0.0010526405670743218"
"63","0.0010130867244187128"
"64","9.750191502176563E-4"
"65","9.383819967008548E-4"
"66","9.031215146243161E-4"
"67","8.691859744164844E-4"
"68","8.365255902873743E-4"
"69","8.050924471893646E-4"
"70","7.748404305225027E-4"
"71","7.457251584811893E-4"
"72","7.177039169429925E-4"
"73","6.907355968040699E-4"
"74","6.647806336692629E-4"
"75","6.398009498083867E-4"
"76","6.157598982935601E-4"
"77","5.926222092356221E-4"
"78","5.703539380407593E-4"
"79","5.489224156114339E-4"
"80","5.282962004185527E-4"
"81","5.084450323745645E-4"
"82","4.893397884398135E-4"
"83","4.7095243989702187E-4"
"84","4.5325601123121813E-4"
"85","4.362245405547867E-4"
"86","4.198330415195789E-4"
"87","4.040574666602084E-4"
"88","3.888746721147523E-4"
"89","3.742623836711012E-4"
"90","3.6019916408914615E-4"
"91","3.466643816508611E-4"
"92","3.3363817989214245E-4"
"93","3.211014484719997E-4"
"94","3.0903579513636033E-4"
"95","2.9742351873535827E-4"
"96","2.862475832545197E-4"
"97","2.7549159282174915E-4"
"98","2.651397676534482E-4"
"99","2.551769209044793E-4"
"100","2.45588436388011E-4"
"101","2.3636024713255877E-4"
"102","2.2747881474476252E-4"
"103","2.189311095476252E-4"
"104","2.107045914650733E-4"
"105","2.0278719162479585E-4"
"106","1.9516729465237202E-4"
"107","1.8783372163071231E-4"
"108","1.8077571369981142E-4"
"109","1.73982916272755E-4"
"110","1.6744536384482285E-4"
"111","1.6115346537340304E-4"
"112","1.550979902072673E-4"
"113","1.4927005454456522E-4"
"114","1.4366110839967179E-4"
"115","1.3826292305976567E-4"
"116","1.3306757901273699E-4"
"117","1.2806745432871375E-4"
"118","1.232552134781626E-4"
"119","1.1862379657015872E-4"
"120","1.1416640899503625E-4"
