"SOC","Probability"
"69.5","0.01088735292059187"
"69.0","0.010478251601654416"
"68.5","0.010084522604196485"
"68.0","0.009705588300484479"
"67.5","0.009340892767626131"
"67.0","0.00898990097199309"
"66.49999999999999","0.008652097984289488"
"65.99999999999999","0.008326988224114974"
"65.49999999999999","0.00801409473291391"
"64.99999999999999","0.0077129584742441065"
"64.49999999999999","0.007423137660338541"
"63.99999999999999","0.007144207103972071"
"63.5","0.0068757575946823135"
"62.999999999999986","0.006617395298429512"
"62.5","0.006368741179814714"
"62.0","0.006129430446008553"
"61.5","0.00589911201157489"
"61.0","0.005677447983404132"
"60.5","0.005464113165000619"
"60.0","0.005258794579396824"
"59.5","0.005061191009994444"
"59.0","0.004871012558658768"
"58.5","0.004687980220418017"
"57.99999999999999","0.004511825474143708"
"57.49999999999999","0.00434228988861155"
"56.99999999999999","0.004179124743364914"
"56.49999999999999","0.004022090663824688"
"55.99999999999999","0.0038709572701101716"
"55.49999999999999","0.0037255028390558217"
"54.99999999999999","0.003585513978928"
"54.49999999999999","0.0034507853163645032"
"53.99999999999999","0.003321119195077606"
"53.49999999999999","0.0031963253858785846"
"52.99999999999999","0.003076220807598311"
"52.49999999999999","0.002960629258494482"
"52.0","0.002849381157751453"
"51.49999999999999","0.0027423132966934247"
"51.0","0.002639268599345999"
"50.499999999999986","0.002540095891994839"
"49.99999999999999","0.002444649681403348"
"49.5","0.002352789941364006"
"49.0","0.002264381907270218"
"48.5","0.0021792958784072904"
"48.0","0.0020974070276724953"
"47.5","0.0020185952184450548"
"47.0","0.0019427448283373908"
"46.5","0.0018697445795690666"
"46.0","0.001799487375714571"
"45.49999999999999","0.0017318701445854356"
"44.99999999999999","0.0016667936870161896"
"44.49999999999999","0.0016041625313323086"
"43.99999999999999","0.001543884793286648"
"43.49999999999999","0.0014858720412588842"
"42.99999999999999","0.001430039166520196"
"42.49999999999999","0.0013763042583728605"
"41.99999999999999","0.0013245884839815805"
"41.5","0.0012748159727202508"
"41.0","0.0012269137048644902"
"40.5","0.0011808114044666433"
"40.0","0.0011364414362560942"
"39.49999999999999","0.001093738706413635"
"38.99999999999999","0.0010526405670743218"
"38.49999999999999","0.0010130867244187128"
"37.99999999999999","9.750191502176563E-4"
"37.49999999999999","9.383819967008548E-4"
"36.99999999999999","9.031215146243161E-4"
"36.49999999999999","8.691859744164844E-4"
"35.99999999999999","8.365255902873743E-4"
"35.5","8.050924471893646E-4"
"35.0","7.748404305225027E-4"
"34.5","7.457251584811893E-4"
"34.0","7.177039169429925E-4"
"33.5","6.907355968040699E-4"
"32.99999999999999","6.647806336692629E-4"
"32.49999999999999","6.398009498083867E-4"
"31.999999999999996","6.157598982935601E-4"
"31.499999999999993","5.926222092356221E-4"
"30.999999999999993","5.703539380407593E-4"
"30.499999999999993","5.489224156114339E-4"
"29.999999999999993","5.282962004185527E-4"
"29.499999999999993","5.084450323745645E-4"
"28.999999999999996","4.893397884398135E-4"
"28.499999999999996","4.7095243989702187E-4"
"27.999999999999996","4.5325601123121813E-4"
"27.499999999999996","4.362245405547867E-4"
"26.999999999999996","4.198330415195789E-4"
"26.499999999999996","4.040574666602084E-4"
"25.999999999999996","3.888746721147523E-4"
"25.499999999999996","3.742623836711012E-4"
"24.999999999999993","3.6019916408914615E-4"
"24.499999999999993","3.466643816508611E-4"
"23.999999999999993","3.3363817989214245E-4"
"23.499999999999993","3.211014484719997E-4"
"23.0","3.0903579513636033E-4"
"22.499999999999996","2.9742351873535827E-4"
"21.999999999999996","2.862475832545197E-4"
"21.499999999999996","2.7549159282174915E-4"
"20.999999999999996","2.651397676534482E-4"
"20.499999999999996","2.551769209044793E-4"
"19.999999999999996","2.45588436388011E-4"
"19.499999999999996","2.3636024713255877E-4"
"18.999999999999993","2.2747881474476252E-4"
"18.499999999999993","2.189311095476252E-4"
"17.999999999999993","2.107045914650733E-4"
"17.499999999999993","2.0278719162479585E-4"
"16.999999999999993","1.9516729465237202E-4"
"16.499999999999993","1.8783372163071231E-4"
"15.999999999999993","1.8077571369981142E-4"
"15.499999999999991","1.73982916272755E-4"
"14.999999999999991","1.6744536384482285E-4"
"14.499999999999991","1.6115346537340304E-4"
"13.99999999999999","1.550979902072673E-4"
"13.5","1.4927005454456522E-4"
"13.0","1.4366110839967179E-4"
"12.5","1.3826292305976567E-4"
"12.0","1.3306757901273699E-4"
"11.5","1.2806745432871375E-4"
"10.999999999999998","1.232552134781626E-4"
"10.499999999999998","1.1862379657015872E-4"
"9.999999999999998","1.1416640899503625E-4"
