"Time","Total_Load"
"0.0","760.0"
"0.25","759.173"
"0.5","756.702"
"0.75","763.622"
"1.0","757.988"
"1.25","761.879"
"1.5","753.393"
"1.75","743.647"
"2.0","732.775"
"2.25","720.926"
"2.5","719.265"
"2.75","705.966"
"3.0","692.213"
"3.25","678.194"
"3.5","648.104"
"3.75","634.136"
"4.0","620.484"
"4.25","607.335"
"4.5","600.872"
"4.75","589.265"
"5.0","578.674"
"5.25","575.247"
"5.5","567.113"
"5.75","560.383"
"6.0","561.152"
"6.25","557.491"
"6.5","551.45"
"6.75","551.057"
"7.0","552.319"
"7.25","561.217"
"7.5","583.713"
"7.75","611.742"
"8.0","613.224"
"8.25","616.053"
"8.5","626.11"
"8.75","644.254"
"9.0","667.332"
"9.25","697.179"
"9.5","710.615"
"9.75","729.457"
"10.0","732.513"
"10.25","746.59"
"10.5","760.493"
"10.75","786.031"
"11.0","800.017"
"11.25","829.271"
"11.5","833.626"
"11.75","855.924"
"12.0","865.023"
"12.25","876.798"
"12.5","900.141"
"12.75","897.966"
"13.0","873.205"
"13.25","858.814"
"13.5","841.771"
"13.75","864.076"
"14.0","860.753"
"14.25","838.847"
"14.5","839.427"
"14.75","842.58"
"15.0","822.415"
"15.25","812.969"
"15.5","831.163"
"15.75","831.586"
"16.0","845.17"
"16.25","869.845"
"16.5","894.541"
"16.75","896.185"
"17.0","936.707"
"17.25","943.037"
"17.5","956.108"
"17.75","978.853"
"18.0","980.212"
"18.25","993.124"
"18.5","1012.535"
"18.75","1029.395"
"19.0","1011.659"
"19.25","1010.287"
"19.5","1025.246"
"19.75","1016.508"
"20.0","1040.053"
"20.25","1006.867"
"20.5","1006.941"
"20.75","1006.275"
"21.0","987.875"
"21.25","979.754"
"21.5","957.932"
"21.75","942.435"
"22.0","932.295"
"22.25","927.551"
"22.5","900.246"
"22.75","877.429"
"23.0","857.156"
"23.25","843.482"
"23.5","830.471"
"23.75","788.187"
